Date,VFVA
2018-04-30,0.040628086233817404
2018-05-31,0.02087425140631966
2018-06-30,0.004476574444170407
2018-07-31,0.02379441412741586
2018-08-31,0.019127360369354054
2018-09-30,-0.009571089692188272
2018-10-31,-0.06867536707495135
2018-11-30,-0.010920054526578352
2018-12-31,-0.1412937866233305
2019-01-31,0.11412093878769487
2019-02-28,0.026444929686164707
2019-03-31,-0.03428139912590911
2019-04-30,0.0341286758170838
2019-05-31,-0.10642893107420845
2019-06-30,0.06881049701843164
2019-07-31,0.002618518522113363
2019-08-31,-0.045427284695521264
2019-09-30,0.08601112917236456
2019-10-31,0.031979530016237434
2019-11-30,0.013388695473005644
2019-12-31,0.05309561473455948
2020-01-31,-0.06627320890566214
2020-02-29,-0.11777953547544795
2020-03-31,-0.28275078923133234
2020-04-30,0.2774496483844586
2020-05-31,0.09298924950448009
2020-06-30,0.009975175232464426
2020-07-31,0.04963087607098288
2020-08-31,0.0404568166113004
2020-09-30,-0.03505128019962069
2020-10-31,0.015368743636430942
2020-11-30,0.14466346465775987
2020-12-31,0.04692014401480805
2021-01-31,0.042693927367085195
2021-02-28,0.07400911274352909
2021-03-31,0.05548507756725097
2021-04-30,0.020095755081935403
2021-05-31,0.030170056000573413
2021-06-30,-0.029176679823254604
2021-07-31,-0.02414329133271834
2021-08-31,0.030154307060752075
2021-09-30,-0.011962246589979353
2021-10-31,0.021403596777731442
2021-11-30,-0.04542430714457925
2021-12-31,0.07354498281054525
2022-01-31,-0.021480160202829054
2022-02-28,-0.005198295299904631
2022-03-31,0.03907973973812949
2022-04-30,-0.060580675085760226
2022-05-31,0.03115483758304384
2022-06-30,-0.11693273501088802
2022-07-31,0.0778389680953481
2022-08-31,-0.019568548019754904
2022-09-30,-0.09986904836865905
2022-10-31,0.10652990244418335
2022-11-30,0.053507096523457774
2022-12-31,-0.05232134535285321
2023-01-31,0.09789209123567746
2023-02-28,-0.03371958888402093
2023-03-31,-0.07281837089450956
2023-04-30,-0.011369266983243238
2023-05-31,-0.045669011911765166
2023-06-30,0.08323885542239878
2023-07-31,0.06637893650437586
2023-08-31,-0.030718787806416674
2023-09-30,-0.04000241798346785
2023-10-31,-0.033367224027498456
2023-11-30,0.07956164266174649
2023-12-31,0.07128191278609361
2024-01-31,-0.012083276167157417
2024-02-29,0.0070134301634064405
2024-03-31,0.06377301068203112
2024-04-30,-0.052329619672382484
2024-05-31,0.039107131807433373
2024-06-30,-0.013329638673056638
2024-07-31,0.09098998910971101
2024-08-31,0.01270103232294152
2024-09-30,0.022349805710754258
2024-10-31,-0.0015879574010924495
2024-11-30,0.08140878123859184
2024-12-31,-0.07577499717909596
2025-01-31,0.03619224566431336
2025-02-28,-0.012167912176701292
2025-03-31,-0.020417016401398674
2025-04-30,-0.05745253649827267
2025-05-31,0.05311458507220921
2025-06-30,0.05116052789649695
2025-07-31,-0.011137160546390574
